File,Predicted Mood,Pitch Consistency,Duration Consistency,Offset Variance,Melodic Contour,Note Density,Dynamic Range,Melody Score,Harmony Score,Rhythm Score,Overall Structure Score,Quality Score
angry.mid,Angry,276.1200825727821,679.2542479317544,7.427487352445194,0.06413502109704641,118.67302885707838,13,15.595726875865969,237.4,0.13610723514485845,131.67302885707838,85.60178725241431
happy (1).mid,Angry,22.399776784602118,134.35028842544403,6.568527918781726,0.8367346938775511,19.79550102249496,0,1.2397652532316739,39.6,0.1596843421040868,19.79550102249496,49.193239375899765
happy (2).mid,Relaxed,244.65894629054543,,6.573280159521436,0.001996007984031936,66.9231934555374,0,501.00408732243466,200.8,,66.9231934555374,72.3077311518458
happy (3).mid,Angry,231.6484405300411,685.8935777509511,6.581874356333676,0.1711340206185567,97.17791411042981,21,5.847690380365088,194.4,0.15339035707061097,118.17791411042981,85.88983928451019
relaxed (1).mid,Angry,163.45692602843928,323.7056275898418,8.222610722610723,67.37456242707118,85.88048170870316,0,0.02096021663864948,171.8,0.12470510175665676,85.88048170870316,48.07058615346698
relaxed (2).mid,Relaxed,25.890796305508513,,31.093333333333334,0.3221476510067114,15.096568961599694,0,3.142790430424263,30.2,,15.096568961599694,43.398856320533234
relaxed (3).mid,Relaxed,,,7.1875,0.0,3.299250170415827,0,,6.6,,3.299250170415827,2.199750056805276
sad (1).mid,Angry,47.72403307908222,188.79751057680818,7.466666666666667,0.09665427509293681,27.093842308566337,16,10.367107649415672,54.2,0.13922525143745942,43.09384230856634,59.0517016268131
sad (2).mid,Relaxed,36.76955262170047,,6.566517189835576,0.029940119760479042,66.98477618723042,11,33.42719641466102,134.0,,77.98477618723042,75.99492539574348
sad (3).mid,Angry,48.50051546117835,196.5756851698602,22.90747330960854,0.20714285714285716,28.19359236537161,16,4.84820454446454,56.4,0.04874097517443311,44.193592365371615,58.27688037469776
